Track Name,Artist Name,URI,Lyrics
Fast Car,Luke Combs,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,"['Maybe we make a deal', 'Maybe together we can get somewhere', 'Any place is better', ""Startin' from zero, got nothin' to lose"", ""Maybe we'll make something"", ""Me, myself, I got nothin' to prove"", 'You got a fast car', 'And I got a plan to get us out of here', ""I've been workin' at the convenience store"", 'Managed to save just a little bit of money', ""Won't have to drive too far"", 'Just across thе border and into the city', 'And you and I can both get jobs', ""Finally see what it mеans to be livin'"", ""See, my old man's got a problem"", ""He live in the bottle, that's the way it is"", ""He said his body's too old for working"", ""His body's too young to look like his"", 'So Mama went off and left him', 'She wanted more from life than he could give', ""I said, somebody's got to take care of him"", ""So I quit school and that's what I did"", 'You got a fast car', 'Is it fast enough so we can fly away?', 'Still gotta make a decision', 'Leave tonight or live and die this way', 'So I remember when we were driving, driving in your car', 'Speed so fast, I felt like I was drunk', 'City lights lay out before us and your arm felt nice wrapped around my shoulder', 'And I, I, had a feeling that I belonged', 'I, I, had a feeling I could be someone, be someone, be someone', 'You got a fast car', 'We go cruising and entertain ourselves', ""You still ain't got a job"", 'So I work in the market as a checkout girl', 'I know things will get better', ""You'll find work and I'll get promoted"", ""And we'll move out of the shelter"", 'Buy a bigger house, live in the suburbs', 'Said I remember when we were driving, driving in your car', 'Speed so fast, I felt like I was drunk', 'City lights lay out before us and your arm felt nice wrapped around my shoulder', 'And I, I, had a feeling that I belonged', 'I, I, had a feeling I could be someone, be someone, be someone', 'You got a fast car', 'I got a job that pays all our bills', 'You stay out drinking late at the bar', 'See more of your friends than you do your kids', ""I'd always hoped for better"", 'Thought maybe together you and me would find it', ""I got no plans, I ain't goin' nowhere"", 'Take your fast car and keep on driving', 'So I remember when we were driving, driving in your car', 'Speed so fast, I felt like I was drunk', 'City lights lay out before us and your arm felt nice wrapped around my shoulder', 'And I, I, had a feeling that I belonged', 'I, I, had a feeling I could be someone, be someone, be someone', 'You got a fast car', 'Is it fast enough so we can fly away?', 'Still gotta make a decision']"
Dancin’ In The Country,Tyler Hubbard,spotify:track:2KtGiBi5CrX2ERPD2PAS34,"[""But we ain't got"", 'No room to move, no room to move', 'We need some space and I know a place', ""Outside of town where it don't ever close down"", 'No, we never close down', 'Yeah, we can two-step', 'Put your boots on, baby, we can do that', 'Girl, cut a little loose, you can move that', 'Move that, aw, yeah', ""I'll take you dancin' in the country, Levi's in them low beams"", 'Spin you in some red dirt, sweep you off of both feet', 'Out here where the sun sets, Silverado backbeat', ""You'll never wanna go home and never wanna not be"", ""Dancin' in the country"", ""Dancin' in the country"", 'Yeah, it goes left, right, left', ""You makin' me wanna sway"", ""You makin' me wanna play"", 'Some Alabama and Jackson', ""Got you 'round my neck"", ""You makin' me wanna stay"", ""You makin' me wanna lay"", 'You down here in the pasture', 'Yeah, we can two-step', 'Put your boots on, baby, we can do that', 'Girl, cut a little loose, you can move that', 'Move that, aw, yeah', ""I'll take you dancin' in the country, Levi's in them low beams"", 'Spin you in some red dirt, sweep you off of both feet', 'Out here where the sun sets, Silverado backbeat', ""You'll never wanna go home and never wanna not be"", ""Dancin' in the country"", ""Dancin' in the country"", 'Oh, yeah', 'I know you feel that heat', 'Watermelon summer', 'Get them Luccheses', ""Stompin' like the thunder, yeah"", 'We can two-step', 'Put your boots on, baby, we can do that', 'Girl, cut a little loose, you can move that (Woo)', 'Move that, aw, yeah', ""I'll take you dancin' in the country, Levi's in them low beams"", 'Spin you in some red dirt, sweep you off of both feet (Oh, yeah)', 'Out here where the sun sets, Silverado backbeat', ""You'll never wanna go home and never wanna not be"", ""Dancin' in the country (Don't stop, don't stop, keep it movin')"", ""Dancin' in the country (Don't stop, don't stop, keep it movin')"", ""Dancin' in the country (Don't stop, don't stop, keep it movin')"", 'Oh, yeah', ""Dancin' in the country (Don't stop, don't stop, keep it movin')""]"
Girl In Mine,Parmalee,spotify:track:2DPqR0kuZVjrOF5oxIRYPy,"['Couple billion in the world', ""Baby, you're the only girl in mine"", 'You took the single out of my life', ""Now I can't wait to see you tonight"", ""In my CJ seat, messin' with my rear view"", ""No, I don't feel like me, girl, if I ain't got you"", 'In my T-shirt, in my ride', ""Runnin' circles in my mind"", 'Couple billion in the world', ""Baby, you're the only girl"", 'In that picture in my pocket', 'On my cell phone when I lock it', ""It's all you, no lie"", ""Baby, you're the only girl in mine"", ""(You're the only girl in)"", ""Nah, there ain't nothin' I want to myself"", ""If it's up to me, there'd never be nobody else"", 'In that blue beach chair by my side in the sun', ""Don't even wanna be there, girl, if you ain't the one"", 'In my T-shirt, in my ride', ""Runnin' circles in my mind"", 'Couple billion in the world', ""Baby, you're the only girl"", 'In that picture in my pocket', 'On my cell phone when I lock it', ""It's all you, no lie"", ""Baby, you're the only girl"", ""In my head when I'm dreamin'"", 'In my Friday every weekend', 'All my days, my nights', ""Baby, you're the only girl in mine"", ""Yeah, you're the only girl in mine"", 'You took the single, mm, out of my life', ""Now, girl, you'll always be the only one I wanna see"", 'Up in my T-shirt, in my ride', ""Runnin' circles in my mind"", 'Couple billion in the world', ""Baby, you're the only girl"", 'In that picture in my pocket', 'On my cell phone when I lock it', ""It's all you, no lie"", ""Baby, you're the only girl in mine"", ""You're the only girl in mine""]"
Out Of That Truck,Carrie Underwood,spotify:track:1xdsRkWxWWUkKhh9hRtfYp,"[""Yeah, that's my strawberry wine stain"", 'My nail polish on the tailgate', 'So much of me left, I bet, you must get déja vu', ""When you're runnin' around in that stick shift Chevy, I bet it drives you crazy"", ""Thinkin' about us on every other back road, baby"", ""You got someone new on your bench seat, tryin' to forget me lately"", ""But my memory's stuck, so good luck"", 'Tryna get me out of that truck', ""So go on, touch that paint up where I scratched the driver's side"", ""That won't take back all our weekend for no reason rides"", 'Yeah, I bet the left side of the flatbed', 'Will always be mine in your head', ""Even though it's not me counting stars with you tonight"", ""When you're runnin' around in that stick shift Chevy, I bet it drives you crazy"", ""Thinkin' about us on every other back road, baby"", ""You got someone new on your bench seat, tryin' to forget me lately"", ""But my memory's stuck, so good luck"", 'Tryna get me out of that truck, yeah', 'Ooh, you can shine it up, you can clean it out', 'Spin those tires all over town', ""When the music's up and the window's down"", ""I'm the one you're thinking 'bout"", 'My Silverado silhouette', 'Still shotgun riding in your head', ""So when you're runnin' around in that stick shift Chevy, I bet it drives you crazy"", ""Thinkin' about us on every other back road, baby"", 'You got someone new on your bench seat, trying to forget me lately', ""But my memory's stuck, so good luck"", 'Tryna get me out of that truck', 'Mm-hmm', 'My Silverado silhouette']"
Last Night,Morgan Wallen,spotify:track:59uQI0PADDKeE6UZDTJEe8,"['You told me that you wish I was somebody you never met', ""But baby, baby somethin's tellin' me this ain't over yet"", 'No way it was our last night', 'I kiss your lips', 'Make you grip the sheets with your fingertips', 'Last bottle of Jack, we split a fifth', ""Just talkin' about life goin' sip for sip, yeah"", 'You, you know you love to fight', ""And I say shit I don't mean"", ""But I'm still gon' wake up wantin' you and me"", 'I know that last night we let the liquor talk', ""I can't remember everything we said but we said it all"", 'You told me that you wish I was somebody you never met', ""But baby, baby somethin's tellin' me this ain't over yet"", 'No way it was our last night (Last night)', 'No way it was our last night (Last night)', 'No way it was the last night that we break up', 'I see your tail lights in the dust', 'You called your momma, I call your bluff', 'In the middle of the night, pull her right back up', 'Yeah my, my friends say ""Let her go""', 'Your friends say ""What the hell?""', ""I wouldn't trade your kind of love for nothin' else"", 'Oh baby, last night we let the liquor talk', ""I can't remember everything we said but we said it all"", 'You told me that you wish I was somebody you never met', ""But baby, baby somethin's tellin' me this ain't over yet"", ""No way it was our last night, we said we'd had enough"", 'I can’t remember everything we said but we said too much', 'I know you packed your shit and slammed the door right before you left', 'But baby, baby somethin’s tellin’ me this ain’t over yet', 'No way it was our last night (Last night)', 'No way it was our last night (Last night)', ""I know you said this time you really weren’t comin' back again"", 'But baby, baby somethin’s tellin’ me this ain’t over yet', 'No way it was our last night (Last night)']"
Glory Days,Gabby Barrett,spotify:track:7qaMlLPdwNiiU1Uiy1oAdO,"['Got my head on your shoulder and my hand on your heart', ""Watchin' the barefoot babies laughin' and pickin' daisies"", ""Catchin' the fireflies in a jar"", ""This is as good as it gets, I don't know what I would change"", 'I love this life that we live, I love that smile on your face', ""No, we ain't gotta look back at all those pictures in frames"", ""And wish it'd all stay the same"", '\'Cause right here, right now I say, ""These are the glory days""', ""It's a first sip of coffee in a quiet house"", ""It's Bible verses in the kitchеn like it's holy ground"", ""Livin' right don't cost a thing, it's slow roll of a porch swing, it's"", ""Dogs runnin' while the birds arе singin', it's you picking that six-string"", ""This is as good as it gets, I don't know what I would change"", 'I love this life that we live, I love that smile on your face', ""No, we ain't gotta look back at all those pictures in frames"", ""And wish it'd all stay the same"", '\'Cause right here, right now I say, ""These are the glory days""', 'Ooh, these are the glory days', ""This is as good as it gets, I don't know what I would change"", 'I love this life that we live, I love that smile on your face', ""No, we ain't gotta look back at all those pictures in frames"", ""And wish it'd all stay the same"", '\'Cause right here, right now I say, ""These are the glory days""', 'Yeah, right here, right now I say, ""These are the glory days""']"
Outskirts,Sam Hunt,spotify:track:2E0bqoMlIb2xmFyZHRjtzK,"['Up and down all these avenues', ""Doin' everything but thinkin' 'bout you"", ""As long as I stay on 'em, I'm fine"", 'The city side of those city limit signs', ""You don't really cross my mind"", 'But soon as I get out here on the outskirts', ""I wish I was runnin' by your house first"", ""Somethin' 'bout a summer in the south sure"", 'Shines like gold down these old', 'Round bail, river valley back roads', 'Way back in the holler where the grass grows', 'God almighty, baby, we were that close', ""To ditchin' this town and settlin' down"", 'Out here on the outskirts', ""If I'da had a lick of damn sense"", ""I'd be on the greener side of that fence"", ""Little starter house we've finally outgrown"", ""Twelve-hundred feet we're 'bout to add on"", ""Smilin' out there watchin' them"", ""Big ol' yellow buckets 'bout to break ground"", ""While you're shootin' all my baby names down"", 'But soon as I get out here on the outskirts', ""I wish I was runnin' by your house first"", ""Somethin' 'bout a summer in the south sure"", 'Shines like gold down these old', 'Round bail, river valley back roads', 'Way back in the holler where the grass grows', 'God almighty, baby, we were that close', ""To ditchin' this town and settlin' down"", 'Out here on the outskirts', ""I'm over all these Saturday nights"", 'I miss the stars in your eyes', 'We were gonna give up on the fast life', ""Have a couple babies, raise 'em up right"", ""Take 'em to the river, get 'em baptized"", ""Back in our day, if I'da just stayed"", ""I wouldn't be livin' in this condo"", ""Hangin' out with Hailey from Toronto"", 'God almighty, baby, we were that close', ""To ditchin' uptown, puttin' roots down""]"
World on Fire,Nate Smith,spotify:track:5ya0TmUQw2wHMkq36rPsnd,"['You coulda left this town out of it', 'When you said goodbye', 'You ruined everything I love', 'Ripped my heart right out my chest', ""Girl, it's like there ain't nothing left"", 'You set my world on fire', ""Yeah, it's all long gone"", ""I'm watching flames get higher"", ""And I can't move on"", 'I just gotta let it burn, burn, burn on down', ""Girl, without you it don't turn, turn, turn around"", 'You set my world on fire', 'You set my world on fire', ""Can't hit that corner bar"", ""Can't even ride them roads"", ""Don't know my way around this place"", ""I can't see through the smoke"", 'Piled up every memory', 'Yeah, you took the good with all the bad', ""Why'd you have to strike that match"", 'And set my world on fire', ""Yeah, it's all long gone"", ""I'm watching flames get higher"", ""And I can't move on"", 'I just gotta let it burn, burn, burn on down', ""Girl, without you it don't turn, turn, turn around"", 'You set my world on fire', 'You set my world on fire', ""Ain't nothing left for me"", 'In this old nothing town', ""Guess all we'll be is ashes on the ground"", 'So, I watch it burn, burn, burn on down', ""Ain't nothing I can hold on to right now"", 'You set my', 'You set my world on fire', ""Yeah, it's all long gone"", ""I'm watching flames get higher"", ""And I can't move on"", 'I just gotta let it burn, burn, burn on down', ""Girl, without you it don't turn, turn, turn around"", 'You set my world on fire', 'You set my world on fire', 'You set my world on fire', 'You set my world on fire', 'You set my world on fire']"
What If I Don't,Shaylen,spotify:track:6JsDkVknNaXZ6fIl33D30R,"['But not with you', 'Yeah', ""I thought that thinking 'bout you every day"", 'That getting drunk and calling you so late', 'I know this wanting you is just a phase', ""And with a little time I'll be okay"", ""What if I'm not strong as I think?"", ""What if in two years I still can't sleep"", 'What if I meet somebody new', ""And every kiss feels like I'm cheating on you"", 'What if we made a big mistake?', 'What if my heart never unbreaks?', 'People move on, people let go', 'What if you do?', ""What if I don't?"", 'What if whiskey makes me miss you forever?', 'What if I go out and see you doing better than ever?', 'Yeah', ""I thought that thinking 'bout you every day"", 'That getting drunk and calling you so late', 'I know this wanting you is just a phase', ""Maybe for you it is, but for me it ain't"", ""What if I'm not strong as I think?"", ""What if in two years I still can't sleep"", 'What if I meet somebody new', ""And every kiss feels like I'm cheating on you"", 'What if we made a big mistake?', 'What if my heart never unbreaks?', 'People move on, people let go', 'What if you do?', ""What if I don't?"", 'Ever stop loving you', 'Ever stop needing you', ""What if I, what if I don't?"", 'Ever stop going through', ""Hell that I'm going through?"", 'Oh', ""Oh what if I, what if I don't?"", 'No', ""What if I'm not strong as I think?"", ""What if in two years I still can't sleep"", 'What if I meet somebody new', ""And every kiss feels like I'm cheating on you"", 'What if we made a big mistake?', 'What if my heart never unbreaks?', 'People move on, people let go', 'What if you do?', 'I wanna move on, wanna let go', 'What if you do?', ""What if I don't?""]"
Religiously,Bailey Zimmerman,spotify:track:0bILU0UiNDmA5Ff6whhb2R,"['You look happy, I guess, got the life that you wanted', ""But it ain't with me"", ""You would think by now that I wouldn't care"", ""It's been a couple years and, yeah, I've had my share"", 'Of other broken-up hearts, but I only shed real tears over ours', ""And now I'm in this cold bright light"", ""And this don't even feel like life"", ""'Cause I don't have the only woman who believed in me"", 'Religiously', ""And now I'm in the back of the church"", ""Prayin' just to stop the hurt"", ""'Cause I don't have the only woman who was there for me"", 'Religiously', ""Remember watchin' you play me our song on guitar"", ""I thought I'd marry you"", ""Act like I'm happier now, but all of my friends know"", ""That ain't the truth"", ""And lately life's been good to me"", ""Mama's healthy and I'm helpin' out the whole family"", 'Lotta people know my name, I made a little change', ""But that don't mean nothin'"", ""'Cause now I'm in this cold bright light"", ""And this don't even feel like life"", ""'Cause I don't have the only woman who believed in me"", 'Religiously', ""And now I'm in the back of the church"", ""Prayin' hard just to stop the hurt"", ""'Cause I don't have the only woman who was there for me"", 'Religiously', 'You brought me to God and I put you through hell', 'You were all about us, I was all about myself', 'What kind of man would lose a woman like that?', 'If my soul could be forgiven, I would give it all back', ""Now I'm in this cold bright light"", ""And this don't even feel like life"", ""'Cause I don't have the only woman who believed in me"", 'Religiously', ""And now I'm in the back of the church"", ""Beggin' God just to stop the hurt"", ""'Cause I don't have the only woman who believed in me"", 'Religiously', ""I ain't got the only woman who was there for me""]"
Record High,Dylan Marlowe,spotify:track:7KTouudlySEWXOWHAuFAFv,"[""For reds I've smoked on the porch outside"", ""Here tonight it's looking like"", 'Its gonna be a record high', ""For times I've played that get her back song"", ""And this little bit of time shes been gone ain't been long"", ""Who'd have thought that it would hurt this bad"", ""I ain't ever seen nobody leave somebody like that"", 'Chorus', ""Cause i ain't ever seen gravel fly that high"", ""Ain't ever seen more tears in a pair of green eyes"", ""I ain't ever seen taillights burn that bright"", 'Never heard her cuss more than she did last night', ""I ain't ever its gotta be a record high"", 'Goodbye', 'Verse 2', 'Its gonna be a record low', 'For how far from foolish jack will go', 'From just one night in this house alone with her ghost', 'Heaven only knows', 'If ill ever let her go', 'You might also likeChorus', ""Cause i ain't ever seen gravel fly that high"", ""Ain't ever seen more tears in a pair of green eyes"", ""I ain't ever seen taillights burn that bright"", 'Never heard her cuss more than she did last night', ""I ain't ever its gotta be a record high"", 'Goodbye', 'Yeah goodbye', 'Chorus)', ""Cause i ain't ever seen gravel fly that high"", ""Ain't ever seen more tears in a pair of green eyes"", ""I ain't ever seen taillights burn that bright"", 'Never heard her cuss more than she did last night', ""I ain't ever its gotta be a record high""]"
Looking for You,Chris Young,spotify:track:67IfTiMwPNN0wQE7Scfzu9,"['To that bar that night', 'Under those neon lights', 'From the moment that you touched me', ""I was hoping that you'd love me"", 'Forever and ever, for all time', ""Didn't know that I had been so blind"", 'But you opened my eyes', 'I was looking more single every single weekend', 'Looking for a feeling to get my heart beating', 'Looking for an up all night long', 'The right kiss, right song', 'Looking for a sunrise leading to a sunset', 'Looking for a someone I can spend it with', 'Then it came around, right out of the blue', 'And it turns out', 'Oh, I was looking for you', 'Yeah, I was looking for you', ""Couldn't have just been anyone"", 'The way you smiled and said my name', 'Girl, you were so original', ""I knew I'd never be the same"", 'I was looking more single every single weekend', 'Looking for a feeling to get my heart beating', 'Looking for an up all night long (All night)', 'The right kiss, right song (All night)', 'Looking for a sunrise leading to a sunset', 'Looking for a someone I can spend it with', 'Then it came around right out of the blue', 'And it turns out', 'Oh, I was looking for you', 'I was looking for you', ""I didn't know that I had been so blind"", 'But you opened my eyes', 'I was looking more single every single weekend', 'Looking for a feeling to get my heart beating', 'Looking for an up all night long (All night)', 'The right kiss, right song', 'Looking for a sunrise leading to a sunset', 'Looking for a someone I can spend it with', 'Then it came around right out of the blue', 'And it turns out', 'Oh, I was looking for you']"
Watermelon Moonshine,Lainey Wilson,spotify:track:6KaKmX6EIu3x2057HoZwQF,"[""We went a-ridin' them old farm ruts"", ""Hangin' out on the gate of his truck"", ""We threw a blanket 'neath the sunset"", ""Bein' brave as eighteen gets"", 'We gave each other more than our hearts', 'With the help of a mason jar', ""Drinkin' watermelon moonshine"", 'Cut the burn with a little lime', ""Parkin' back in them kudzu vines"", 'I was his and every bit of that boy was minе', 'Too young to know what love was', ""But we werе learnin' on a sweet buzz"", ""There's never nothin' like the first time"", ""And mine's always gonna taste like"", 'Watermelon moonshine', ""I don't remember where we got it from"", ""I just remember feelin' all grown up"", ""Takin' pulls like it ain't no thing"", 'Never told him it was my first drink', 'But I told him that he was the one', ""You're so sure when you're that young"", 'You think you got it all figured out', 'And now I laugh when I think about', ""Drinkin' watermelon moonshine"", 'Cut the burn with a little lime', ""Parkin' back in them kudzu vines"", 'I was his and every bit of that boy was mine', 'Too young to know what love was', ""But we were learnin' on a sweet buzz"", ""There's never nothin' like the first time"", ""And mine's always gonna taste like"", 'Watermelon moonshine', 'I thought that high would last forever', ""But that ain't what it does"", 'Maybe we were drunk in love', 'Or maybe we were just', ""Drinkin' watermelon moonshine"", 'Cut the burn with a little lime', ""Parkin' back in them kudzu vines"", 'I was his and every bit of that boy was mine', 'Too young to know what love was', ""But we were learnin' on a sweet buzz"", ""There's never nothin' like the first time"", ""And mine's always gonna taste like"", 'Watermelon moonshine']"
Your Heart Or Mine,Jon Pardi,spotify:track:7ETjhPaIU4UmHOiimJBZz9,"['A little you, a little me', ""In the same vicinity and it's on"", 'Everyone is the first last time', 'Walk away, then, we hit rewind', 'A little touch, a little buzz', ""Don't know what keeps keepin' it up"", 'Is it your heart or mine?', 'Is it whiskey or wine?', ""Is it somethin' in the night"", ""Makin' us wanna cross that line?"", ""Girl, we're playin' with fire"", ""Love ain't too far behind"", ""It's just a matter of time"", ""'Til it finds your heart or mine"", ""We say that it ain't no thing"", 'We say it, then, the telephone rings', 'A hello, arе you at home', ""'Cause I'm all alone missin' you"", ""Wе swear it ain't love, love, love"", ""But you're there when the sun comes up"", ""We swear it ain't love, love, love"", 'But it always comes back to us', 'Is it your heart or mine?', 'Is it whiskey or wine?', ""Is it somethin' in the night"", ""Makin' us wanna cross that line?"", ""Girl, we're playin' with fire"", ""Love ain't too far behind"", ""It's just a matter of time"", ""'Til it finds your heart or mine"", ""We swear it ain't love, love, love"", ""We swear it ain't love, love, love"", 'Is it your heart or mine?', 'Is it whiskey or wine?', ""Is it somethin' in the night"", ""Makin' us wanna cross that line?"", ""Girl, we're playin' with fire"", ""Love ain't too far behind"", ""It's just a matter of time"", ""'Til it finds your heart or mine""]"
Bury Me in Georgia - Single Edit,Kane Brown,spotify:track:2mltIbKkhQqyh8gCzaqxqA,"['Mm-hmm', 'Ten miles out of Chattanooga', 'South of that state line', ""There's a no-name road off Highway 2"", 'Just past the welcome sign', ""It's where I was born, it's where I was raised"", ""Ain't sayin' I'm ready yet"", ""But that's the place I wanna be after my last breath"", 'Bury me in Georgia', 'Let me rest in peace', 'Underneath the pines, yeah, yeah, yeah', 'Where my roots run deep (Where my roots run deep)', ""When it's my day, put me in that clay"", 'And remember what I told you', 'When I die, bury me in Georgia', 'Mm-hmm', ""Yeah, I don't care what color my suit is"", ""Or what shoes y'all put on my feet"", ""I don't care how many show up, yeah"", 'Or who reads my eulogy', 'Just take me out to that graveyard', 'Sing a send me home song', 'Put ""Go Dawgs"" on my headstone (Headstone)', 'And pile that red dirt on', 'Bury me in Georgia (Woo)', 'Let me rest in peace', 'Underneath the pines, yeah, yeah, yeah', 'Where my roots run deep (Where my roots run deep)', ""When it's my day, put me in that clay"", 'And remember what I told you', 'When I die, bury me in Georgia', 'Georgia', 'Hell, yeah', 'Check this out', 'For my final will and testament', 'Let this be my last request', 'Leave it all to my family', ""You already know what's next"", 'Yeah, bury me in Georgia', 'Bury me in Georgia', 'Let me rest in peace', 'Underneath the pines, yeah, yeah, yeah', 'Where my roots run deep (Where my roots run deep)', ""When it's my day, put me in that clay"", 'And remember what I told you']"
